Artists,weeks_on_chart,streams,artist_genres
The Weeknd Ariana Grande,64,7264983,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Imagine Dragons,284,7255180,"['modern rock', 'rock']"
Imagine Dragons,284,7255180,"['modern rock', 'rock']"
Billie Eilish Khalid,221,7239832,"['art pop', 'electropop', 'pop']"
The Police,57,7197695,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']"
Danny Ocean,17,7197197,"['latin', 'pop venezolano', 'reggaeton', 'trap latino']"
Calvin Harris Dua Lipa Young Thug,7,7193191,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
Coldplay,82,7181441,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']"
Bad Bunny The MarAas,10,7162502,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny Tainy,63,7130314,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']"
MrKitty,13,7104196,['weirdcore']
One Direction,7,7094361,"['boy band', 'pop', 'post-teen pop', 'talent show']"
Dove Cameron,22,7028681,"['pop', 'post-teen pop']"
DJ Robin SchArze,2,6985121,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']"
J Cole,51,6974666,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
The Weeknd Daft Punk,93,6958528,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Tears For Fears,6,6918015,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'sophisti-pop', 'synthpop']"
Lewis Capaldi,184,6895453,"['pop', 'uk pop']"
BTS,5,6837752,"['dance pop', 'pop', 'viral pop']"
BTS,5,6837752,"['dance pop', 'pop', 'viral pop']"
BTS,5,6837752,"['dance pop', 'pop', 'viral pop']"
Mora Feid,2,6783870,"['latin', 'reggaeton', 'trap latino']"
Drake,4,6757368,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Drake,4,6757368,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Megan Thee Stallion Dua Lipa,18,6722738,"['dance pop', 'houston rap', 'pop', 'trap queen']"
Queen,198,6717197,"['electropop', 'pop', 'pop rap']"
Maroon 5 Wiz Khalifa,30,6646181,['pop']
Doja Cat,57,6644057,"['dfw rap', 'melodic rap', 'rap']"
Doja Cat,57,6644057,"['dfw rap', 'melodic rap', 'rap']"
Doja Cat,57,6644057,"['dfw rap', 'melodic rap', 'rap']"
Burna Boy,1,6638232,"['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
The Weeknd Gesaffelstein,6,6605597,"['dark clubbing', 'destroy techno']"
Dua Lipa,141,6603999,"['deep underground hip hop', 'kentucky hip hop', 'rap']"
Lady Gaga,7,6599369,"['art pop', 'dance pop', 'pop']"
Zion & Lennox,21,6550814,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Jaymes Young,37,6538563,"['modern rock', 'pop']"
BTS,99,6532745,"['dance pop', 'pop', 'viral pop']"
BTS,99,6532745,"['dance pop', 'pop', 'viral pop']"
BTS,99,6532745,"['dance pop', 'pop', 'viral pop']"
Shae Gill Ali Sethi,12,6524803,[]
Justin Bieber Daniel Caesar Giveon,69,6523246,"['canadian pop', 'pop']"
Taylor Swift,36,6493642,['pop']
Taylor Swift,36,6493642,['pop']
Post Malone Swae Lee,195,6480368,"['dfw rap', 'melodic rap', 'rap']"
Bad Bunny,10,6472774,"['latin', 'reggaeton', 'trap latino']"
